Date,Adj. Close,Adj. Volume,Code,Month
2004/1/31,56.83820328,3389700,WIKI/MMM,1
2004/2/29,56.32263392,2946600,WIKI/MMM,2
2004/3/31,59.10194872,2986400,WIKI/MMM,3
2004/4/30,62.42990748,2990900,WIKI/MMM,4
2004/5/31,61.31084767,1650600,WIKI/MMM,5
2004/6/30,65.26241011,3069800,WIKI/MMM,6
2004/7/31,59.71572155,1885300,WIKI/MMM,7
2004/8/31,59.98444229,2508100,WIKI/MMM,8
2004/9/30,58.24375729,4114500,WIKI/MMM,9
2004/10/31,56.49578908,2112400,WIKI/MMM,10
2004/11/30,58.22077309,4306700,WIKI/MMM,11
2004/12/31,60.03491453,1440800,WIKI/MMM,12
2005/1/31,61.71006933,2800700,WIKI/MMM,1
2005/2/28,61.71014255,2163300,WIKI/MMM,2
2005/3/31,62.99668948,2609400,WIKI/MMM,3
2005/4/30,56.21842507,2955800,WIKI/MMM,4
2005/5/31,56.65379425,3337000,WIKI/MMM,5
2005/6/30,53.43860827,14756900,WIKI/MMM,6
2005/7/31,55.43424095,3068200,WIKI/MMM,7
2005/8/31,52.89640949,2845000,WIKI/MMM,8
2005/9/30,54.53943218,1855800,WIKI/MMM,9
2005/10/31,56.48726905,3530400,WIKI/MMM,10
2005/11/30,58.65893844,2928400,WIKI/MMM,11
2005/12/31,57.92644915,1728600,WIKI/MMM,12
2006/1/31,54.37611839,5317900,WIKI/MMM,1
2006/2/28,55.35066168,2695300,WIKI/MMM,2
2006/3/31,56.93017506,3125800,WIKI/MMM,3
2006/4/30,64.25610854,2531000,WIKI/MMM,4
2006/5/31,63.26767825,3364300,WIKI/MMM,5
2006/6/30,61.08212255,3268700,WIKI/MMM,6
2006/7/31,53.23983443,3069800,WIKI/MMM,7
2006/8/31,54.57755632,1780800,WIKI/MMM,8
2006/9/30,56.64800197,2592200,WIKI/MMM,9
2006/10/31,60.01247615,2677300,WIKI/MMM,10
2006/11/30,62.35617937,2355000,WIKI/MMM,11
2006/12/31,59.65402723,1826600,WIKI/MMM,12
2007/1/31,56.87532687,9284500,WIKI/MMM,1
2007/2/28,57.06398916,5290200,WIKI/MMM,2
2007/3/31,58.8741994,3400500,WIKI/MMM,3
2007/4/30,63.75791554,6321800,WIKI/MMM,4
2007/5/31,68.13391196,3561400,WIKI/MMM,5
2007/6/30,67.22762868,3322100,WIKI/MMM,6
2007/7/31,68.877529,5724600,WIKI/MMM,7
2007/8/31,70.86077652,4933800,WIKI/MMM,8
2007/9/30,72.87780489,3845600,WIKI/MMM,9
2007/10/31,67.25504627,4638300,WIKI/MMM,10
2007/11/30,65.21989011,5738700,WIKI/MMM,11
2007/12/31,66.0502178,1740700,WIKI/MMM,12
2008/1/31,62.39207599,5432200,WIKI/MMM,1
2008/2/29,61.79703479,3091300,WIKI/MMM,2
2008/3/31,62.38820541,3505600,WIKI/MMM,3
2008/4/30,60.61469357,4690900,WIKI/MMM,4
2008/5/31,61.53649309,3486700,WIKI/MMM,5
2008/6/30,55.21305511,5333800,WIKI/MMM,6
2008/7/31,55.84777912,4254200,WIKI/MMM,7
2008/8/31,57.2096085,3440100,WIKI/MMM,8
2008/9/30,54.58084297,7093900,WIKI/MMM,9
2008/10/31,51.37678528,7259400,WIKI/MMM,10
2008/11/30,53.9331784,3205500,WIKI/MMM,11
2008/12/31,46.3665783,4005800,WIKI/MMM,12
2009/1/31,43.34477314,7620300,WIKI/MMM,1
2009/2/28,37.02865592,6911300,WIKI/MMM,2
2009/3/31,40.49856516,7183100,WIKI/MMM,3
2009/4/30,46.91708273,5355800,WIKI/MMM,4
2009/5/31,46.91737664,3782600,WIKI/MMM,5
2009/6/30,49.38238767,6597200,WIKI/MMM,6
2009/7/31,57.94419265,4484100,WIKI/MMM,7
2009/8/31,59.66923841,3349200,WIKI/MMM,8
2009/9/30,61.07614139,4561800,WIKI/MMM,9
2009/10/31,60.8857957,4526200,WIKI/MMM,10
2009/11/30,64.50868683,3930100,WIKI/MMM,11
2009/12/31,68.86535564,2049800,WIKI/MMM,12
2010/1/31,67.04938279,4347000,WIKI/MMM,1
2010/2/28,67.20354515,3224400,WIKI/MMM,2
2010/3/31,70.07112,4336700,WIKI/MMM,3
2010/4/30,74.34732811,5262000,WIKI/MMM,4
2010/5/31,66.92220035,6482800,WIKI/MMM,5
2010/6/30,66.65218265,6942900,WIKI/MMM,6
2010/7/31,72.17910753,4744600,WIKI/MMM,7
2010/8/31,66.69709628,4956000,WIKI/MMM,8
2010/9/30,73.62578254,3634700,WIKI/MMM,9
2010/10/31,71.51151431,6085200,WIKI/MMM,10
2010/11/30,71.75366816,3463500,WIKI/MMM,11
2010/12/31,73.7359081,1791500,WIKI/MMM,12
2011/1/31,75.12005841,4116500,WIKI/MMM,1
2011/2/28,79.27200035,4797400,WIKI/MMM,2
2011/3/31,80.36356969,3202900,WIKI/MMM,3
2011/4/30,83.55232738,3086000,WIKI/MMM,4
2011/5/31,81.59487376,3181300,WIKI/MMM,5
2011/6/30,82.00120551,4201800,WIKI/MMM,6
